tempat_sekolah
SD Triharjo
SD Trikora
SD Wonorejo
SD YPK Alfa Omega
SDI Golo Bombong
SDI Golo Welu 2
SDK Andaluri
SDK Kefamenanu
SDK Peboko
SDK Regina Pacis
SDK Toboli Barat
SDN 003 Nunukan Selatan
SDN 006 Langgini
SDN 008 Tembilahan
SDN 008 Waru
SDN 01 Gedong
SDN 01 Kedungwuni
SDN 01 Ungaran
SDN 016 Seilekop
SDN 02 Parakansalak
SDN 02 Pasir Angin
SDN 032 Tembilahan
SDN 04 Sei Limau
SDN 05 Sei Limau
SDN 05 Sidomekar
SDN 06 Penumangan Lama
SDN 07 Pulogebang
SDN 08 Sungai Raya
SDN 1 Babat Jerawat
SDN 1 Banjaran
SDN 1 Bunobogu
SDN 1 Cibodas
SDN 1 Cihampelas
SDN 1 Darmaji
SDN 1 Darmorejo
SDN 1 Garuda
SDN 1 Kedamin
SDN 1 Lehan
SDN 1 Negara Agung
SDN 1 Pasayangan
SDN 1 Rajapolah
SDN 1 Selat
SDN 1 Sindang Sari
SDN 1 Sukadana
SDN 1 Sukorejo
SDN 1 Sutenjaya
SDN 1 Talang Ubi
SDN 1 Tanggung
SDN 1 Tungkaran
SDN 1 Way Jaha
SDN 10 Paku
SDN 10 Tabek Gadang
SDN 11 Kota Bima
SDN 12 Benua Kayong
SDN 14 Talang Ubi
SDN 178 Palembang
SDN 19 Kota Tual
SDN 2 Alaswangi
SDN 2 Batu Tulis
SDN 2 Campang Raya
SDN 2 Cibodas
SDN 2 Jenggrik
SDN 2 Kebonagung
SDN 2 Kediren
SDN 2 Lehan
SDN 2 Malaka
SDN 2 Mandalasari
SDN 2 Mantingan
SDN 2 Nyur Lembang
SDN 2 Pulongrambe
SDN 2 Rajapolah
SDN 2 Setu Wetan
SDN 2 Sukabumi
SDN 2 Sukorejo
SDN 2 Talang Ubi
SDN 20 Talang Ubi
SDN 28 Talang Ubi
SDN 29 Raja Ampat
SDN 3 Batu Tulis
SDN 3 Bukit Tunggal
SDN 3 Bungur
SDN 3 Bunobogu
SDN 3 Mangun Jaya
SDN 3 Mantingan
SDN 3 Mayahan
SDN 3 Ngeblak
SDN 3 Sindang Sari
SDN 3 Talagasari
SDN 33 Kasipute
SDN 4 Malaka
SDN 4 Sumberjo
SDN 42 Kota Bima
SDN 5 Gemarang
SDN 5 Kelurahan Sigando
SDN 5 Mantingan
SDN 5 Proyonanggan
SDN 5 Wates
SDN 55 Buton
SDN 6 Jenggrik
SDN 6 Matangkuli
SDN 6 Wates
SDN 65 Kota Ternate
SDN 7 Bunobogu
SDN 7 Kelurahan Ganting
SDN 9 Kelurahan Ekor Lubuk
SDN Banaran I
SDN Bojong Kopo
SDN Buahbatu
SDN Ciangsana 02 Bogor
SDN Cibutun
SDN Dukuh 03 Sukoharjo
SDN Glapan
SDN Gua Aplasi
SDN Gunung Biru
SDN Inpres Boyaoge
SDN Inpres Tompudau
SDN Kediri
SDN Kedung Jaya 1
SDN Kedung Jaya 2
SDN Kedung Waringin
SDN Kesenden
SDN Klecorejo
SDN Kota Baru 3 Bekasi
SDN Kukupu 3
SDN Lamenta
SDN Loji
SDN Margamulya
SDN Mendak 1
SDN Meruya Selatan 01
SDN Pangebatan
SDN Pasanggar 1 Pegantenan
SDN Pembina
SDN Penadaran
SDN Puncak Batu
SDN Repuk Tunjang
SDN Salakawung
SDN Sangrawayang
SDN Semanding
SDN Sumberejo
SDN Taan Galung
SDN Tampanombo
SDN Taruna Bakti
SDN Tegalretno
SDN Toronan 1
SDN Trisari
SDN Wargasari
SDN saiyong
SMA (Spesifik tidak disebutkan)
SMA 13 Pangkep Boarding School
SMA Annisa Kadungora
SMA Bosowa Bina Insani
SMA IT Assalam
SMA Karitas Tomohon
SMA Karya
SMA Manda Elu
SMA Maniamas Ngabang
SMA Muhammadiyah 7 Yogyakarta
SMA NU Gombengsari
SMA Negeri 1 Kota
SMA Negeri 1 Marau
SMA Negeri 1 Punggur
SMA Negeri 1 Taebenu
SMA Negeri 1 Tinangkung
SMA Negeri 1 Tomo
SMA Negeri 1 kairatu
SMA Pelita
SMA Pembangunan 3 Ponjong
SMA Siti Aisyah
SMAK Alfonsus Waitabula
SMAN 1 Jetis
SMAN 1 Kedungadem
SMAN 1 Kedunggalar
SMAN 1 Kota Batu
SMAN 1 Kota Tambolaka
SMAN 1 Kuwus
SMAN 1 Luragung
SMAN 1 Moilong
SMAN 1 Panji
SMAN 1 Slogohimo
SMAN 1 Sungai Rumbai
SMAN 1 Tanjung Selor
SMAN 1 Yogyakarta
SMAN 15 Jakarta
SMAN 2 Kudus
SMAN 2 Lamongan
SMAN 2 Manokwari
SMAN 2 Mojokerto
SMAN 2 Nunukan Selatan
SMAN 2 Palembang
SMAN 2 Penajam Paser Utara
SMAN 2 Temanggung
SMAN 2 Wonogiri
SMAN 3 Purworejo.
SMAN 3 Temanggung
SMAN 4 Kota Bumi
SMAN 7 Baubau
SMK 1 Handayani
SMK 2 Agro
SMK Bina Potensi
SMK Bukit Zaitun
SMK Doa Bangsa
SMK Don Bosco
SMK Kandeman
SMK Karya Adi Husada
SMK Karya Perjuangan
SMK Ma'Arif
SMK Maniamas Ngabang
SMK Miftahul Huda
SMK Muhammadiyah
SMK Negeri 1 Marau
SMK Negeri 1 Sine
SMK Negeri 1 Tinangkung
SMK Negeri 1 Tomohon
SMK Negeri Cipatujah
SMK PUI Kota Bogor
SMK Pembangunan Bandung Barat
SMK Putra Nasional Cibodas
SMK Rimba Bahari Situraja
SMK Sore Tulungagung
SMK Sta. Familia Tomohon
SMK Swasta Arina Sidikalang
SMK Swasta HKBP Sidikalang
SMK Tridarma
SMK Widya Karya
SMK Win Ujungjaya
SMKN 1 Cibadak
SMKN 1 Cihampelas
SMKN 1 Cisarua
SMKN 1 Kandis
SMKN 1 Kuwus
SMKN 1 Palang
SMKN 1 Saptosari
SMKN 1 Unaaha
SMKN 11 Semarang
SMKN 2 Kelurahan Ganting
SMKN 2 Talang Ubi
SMKN 2 Tambolaka
SMKN 3 Balikpapan
SMKN 3 Boyolangu
SMKN 4 Pati
SMKN 5 Kota Ternate
SMKN 5 Sukabumi
SMKN Tambakboyo
SMP (Spesifik tidak disebutkan)
SMP (Tidak diumumkan)
SMP 05 Lebong
SMP 1 Luragung
SMP 16 Lebong
SMP 5 Labakkang
SMP Bina Greha
SMP Bina Karya
SMP Bosowa Bina Insani
SMP Budi Luhur
SMP Ciparai
SMP Islam Terpadu Lukman Hakim Pohgading
SMP Karya Prestasi Mandiri
SMP Katolik Blora
SMP Kristen 1 Woloan
SMP Kristen Blora
SMP Miftahul Huda
SMP Muhammadiyah 1 Mlati
SMP Muhammadiyah 2 Wates
SMP Muhammadiyah 3 Mlati
SMP Muhammadiyah Playen
SMP Muhammadiyah Pulokasang
SMP Negeri 08 Kota Kupang
SMP Negeri 1 Gemolong
SMP Negeri 1 Marau
SMP Negeri 1 Pedamaran
SMP Negeri 1 Tapalang
SMP Negeri 1 Tawangmangu
SMP Negeri 1 Tinangkung
SMP Negeri 1 Umbulsari
SMP Negeri 13 Manokwari
SMP Negeri 2 Gemolong
SMP Negeri 2 Mlati
SMP Negeri 2 Taopa
SMP Negeri 3 Gemolong
SMP Negeri 3 Mlati
SMP Negeri 35 Bandung
SMP Negeri 4 Cipatujah
SMP Negeri 8 Salatiga
SMP PGRI 01 Simpang Hilir
SMP PGRI Cianjur
SMP PGRI Kadungora
SMP Pamungkas Mlati
SMP Siti Aisyah
SMP YPK Alfa Omega
SMPN 1 Babar Barat
SMPN 1 Blora
SMPN 1 Boyolangu
SMPN 1 Cilimus
SMPN 1 Cisarua
SMPN 1 Colomadu
SMPN 1 Jonggol
SMPN 1 Kadungora
SMPN 1 Karanganyar
SMPN 1 Kendal
SMPN 1 Kota Batu
SMPN 1 Kragan
SMPN 1 Kramatwatu
SMPN 1 Laguboti
SMPN 1 Lembang
SMPN 1 Montong
SMPN 1 Ponjong
SMPN 1 Rajapolah
SMPN 1 Saptosari
SMPN 1 Talang Ubi
SMPN 1 Wedi
SMPN 1 jetis
SMPN 10 Kota Magelang
SMPN 14 Bandar Lampung
SMPN 14 Raja Ampat
SMPN 2 Airmadidi
SMPN 2 Kalianda
SMPN 2 Karimun
SMPN 2 Kedunggalar
SMPN 2 Kutorejo
SMPN 2 Kuwus
SMPN 2 Semin
SMPN 2 Wates
SMPN 277 Jakarta
SMPN 3 Banjar
SMPN 3 Berbah
SMPN 3 Jetis
SMPN 3 Kalipuro
SMPN 3 Kelurahan Ekor Lubuk
SMPN 31 Campang Raya
SMPN 31 Palembang
SMPN 33 Banjarmasin
SMPN 4 Brang Rea
SMPN 4 Lembang
SMPN 4 Pamarican
SMPN 5 Bunobogu
SMPN 6 Talang Ubi
SMPN 8 Purworejo
SMPN 9 Ogan Komering Ulu
SMPN PGRI 1 Bumi Agung
SMPS Budi Mulia Semin
Sekolah Islam Terpadu Assalam
Siswa SD (Spesifik Tidak Disebutkan)
TBA ( Tidak disebutkan)
TBA (Tidak Disebutkan)
TBA (Tidak Diumumkan)
TBA (Tidak disebutkan)
TBA (Tidak diumumkan)
TBA (tidak disebutkan)
TBA( Tidak Disebutkan)
TBA( tidak disebutkan)
TK
TK (Spesifik tidak disebutkan)
TK Aisyiyah Bustanul Athfal (ABA) Kasatriyan
TK Al Akhlak
TK Al Hafidz
TK Amanah
TK Bosowa Bina Insani
TK Bunga Al-Qur’an
TK Cemara
TK Et Labora
TK Faturahman
TK Islam Al Karomah
TK Melati Banjaran
TK Nglebak 1
TK Nglebak 2
TK Ngroto
TK Nurul Saadah
TK Oenasi
Tubo Poang
Tubo Selatan
Tubo Tengah
Warga Kec. Mawasangka Tengah
Yayasan Raudhatul Muttaqin
pesantren Bani Sulaiman
siswa SDIT
warga Kecamatan Satar Mese
“beberapa sekolah lain” di Kecamatan Cikalong
